	est1		est2		est3		est4	
	b/se	p	b/se	p	b/se	p	b/se	p
five_yearly_equivalent_2	2.210526	.7549545	-9.888889	.1658295	-12	.0149192	-12.35294	.0028927
	6.975146		6.829691		4.365381		3.517904	
five_yearly_equivalent_3	-.2105263	.9794506	-10	.2057111	-16.125	.050938	-7.941176	.1859547
	8.060575		7.599955		7.600359		5.746031	
five_yearly_equivalent_4	1.368421	.8901209	-14.88889	.1250773	-17.75	.069272	-14.17647	.1087928
	9.766041		9.22859		9.071717		8.347	
five_yearly_equivalent_5	9.263158	.3178363	-14.77778	.1654809	-17.125	.0094638	-9.823529	.2305143
	9.016018		10.19727		5.758589		7.88075	
_cons	49.21053	1.43e-10	70.44444	4.07e-12	50.5625	6.66e-10	57.47059	3.39e-07
	3.793898		4.136463		3.680195		6.918711	
